time,source,emotion,emotion_confidence,identity,identity_confidence,verified,face_status,faces_detected,result_image
2026-04-15 10:25:06,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102506_174082.jpg
2026-04-15 10:25:08,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102508_328578.jpg
2026-04-15 10:25:10,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102510_981776.jpg
2026-04-15 10:25:13,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102513_000300.jpg
2026-04-15 10:25:15,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102515_158630.jpg
2026-04-15 10:25:17,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102517_208239.jpg
2026-04-15 10:25:19,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102519_470397.jpg
2026-04-15 10:25:21,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102521_553468.jpg
2026-04-15 10:25:25,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102525_366130.jpg
2026-04-15 10:25:27,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102527_485517.jpg
2026-04-15 10:25:29,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102529_557782.jpg
2026-04-15 10:25:31,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102531_606357.jpg
2026-04-15 10:25:33,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102533_690106.jpg
2026-04-15 10:25:35,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102535_804546.jpg
2026-04-15 10:25:37,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102537_857165.jpg
2026-04-15 10:25:41,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102541_265496.jpg
2026-04-15 10:25:43,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102543_498592.jpg
2026-04-15 10:25:45,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102545_575056.jpg
2026-04-15 10:25:47,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102547_748387.jpg
2026-04-15 10:25:49,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102549_912962.jpg
2026-04-15 10:25:52,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102552_045178.jpg
2026-04-15 10:25:54,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102554_163826.jpg
